date,exp,imp,imae,crude_oil_brent,gas_henry_hub,treasury3month,yuan_dollar_spot_tc,usdollar_euro,ue_m,ue_x,usa_x,usa_m,chn_x,chn_m,year,month
2004-04-01,440.605693,535.3043408999999,58.46576813,33.59090909090909,5.709047619047619,0.943809523809524,8.276918181818182,1.1989454545454543,107678685239.752,114440860890.994,96398.0,143681.0,45628327165.000496,44592887491.525406,2004,4
2004-05-01,445.68288975,573.8714640400003,59.61454892,37.56761904761905,6.3335,1.0235,8.27707,1.199995,106463971228.648,116060791921.236,98197.0,145750.0,47055449917.6096,46281788569.2168,2004,5
2004-06-01,429.60525624,595.0056568699997,61.07941218,35.18363636363636,6.270476190476191,1.2666666666666668,8.27665909090909,1.214604545454545,109240079237.635,114966424657.216,95773.0,149941.0,49793403993.1436,47430928911.0806,2004,6
2004-07-01,422.58973134000007,603.5117200499999,61.30248166,38.221363636363634,5.931428571428572,1.3333333333333333,8.276733333333333,1.2266142857142857,110714333454.839,118202591738.608,96907.0,148513.0,49103643112.5245,47101992591.0393,2004,7
2004-08-01,389.0228075099999,566.2342685200006,59.05820108,42.74409090909091,5.406363636363636,1.479090909090909,8.2768,1.2191363636363637,109963717182.494,115328681069.795,97295.0,150943.0,49302157531.8303,46207750311.8715,2004,8
2004-09-01,398.4436893400002,560.4412262399992,60.03915006,43.19681818181818,5.145238095238095,1.6528571428571428,8.276652380952381,1.222395238095238,114008506838.425,115565793654.116,98782.0,150468.0,51492506324.1872,44867470382.8298,2004,9
2004-10-01,405.9522250399996,583.1068358100001,63.18523061,49.77666666666666,6.353333333333333,1.761,8.276545,1.25074,118384791684.011,120961448778.099,100494.0,155552.0,51613541887.9391,50578746077.5954,2004,10
2004-11-01,422.62210177,635.4216677700006,65.7862294,43.110454545454544,6.165,2.069,8.276485000000001,1.29972,124004029238.128,125740128279.826,100090.0,159058.0,56869917238.89031,49150458338.7278,2004,11
2004-12-01,387.30929001999993,588.7845309899994,66.18167329,39.60217391304348,6.576666666666667,2.1872727272727275,8.276508695652174,1.3406478260869563,123666151488.197,128011518519.208,102781.0,157699.0,57772734612.8179,48491470665.118,2004,12
2005-01-01,384.17250013,603.11610622,64.17726974,44.509,6.15,2.3335,8.2765,1.312265,122308751613.728,128491814188.139,103206.0,159395.0,56953202385.500496,50077096949.272095,2005,1
